Ewe/V1,<I>/mA1,Ewe/V5,<I>/mA5,Ewe/V20,<I>/mA20
-0.460235029,-0.247163118,-0.460139513,-0.793835974,-0.460196823,-1.211096627
-0.460235029,-0.247019434,-0.460196823,-0.795327568,-0.460254133,-1.206461512
-0.460311413,-0.247091182,-0.460406929,-0.794714073,-0.460292339,-1.202671183
-0.460426033,-0.246475378,-0.460464239,-0.792635469,-0.460502416,-1.213611106
-0.460655242,-0.246579479,-0.460464239,-0.792194037,-0.460502416,-1.200391409
-0.460636139,-0.246476777,-0.460674345,-0.794116867,-0.460597932,-1.211778308
-0.460731626,-0.246541918,-0.460693419,-0.795714113,-0.460674345,-1.207139124
-0.460865349,-0.246708626,-0.460846245,-0.794928812,-0.460884422,-1.203196317
-0.460941732,-0.246654903,-0.460922629,-0.792893438,-0.460941732,-1.214158858
-0.461075425,-0.246607173,-0.461056352,-0.79268666,-0.461113632,-1.200860895
-0.461113632,-0.246424903,-0.461151838,-0.794573463,-0.461228251,-1.212405525
-0.461247355,-0.246558832,-0.461209148,-0.79615949,-0.461247355,-1.207876583
-0.461323738,-0.247526013,-0.461342841,-0.796816979,-0.461247355,-1.206047642
-0.461419255,-0.24738823,-0.461495638,-0.794606892,-0.461438358,-1.21632983
-0.461457461,-0.247313657,-0.461610258,-0.794001476,-0.461552948,-1.2032441
-0.461763054,-0.247209162,-0.461705744,-0.795980072,-0.461629361,-1.214304718
-0.461667538,-0.247429957,-0.461877644,-0.797274266,-0.461877644,-1.209883062
-0.461877644,-0.247394519,-0.461992264,-0.796479785,-0.461858541,-1.205981339
-0.461877644,-0.247282021,-0.46203047,-0.794562757,-0.46203047,-1.216877617
-0.461992264,-0.247411919,-0.46208775,-0.794219159,-0.462125957,-1.203950991
-0.46214506,-0.247123723,-0.462125957,-0.795889003,-0.462221473,-1.214554047
-0.46214506,-0.24755924,-0.46225965,-0.797338267,-0.462240547,-1.210339315
-0.462355167,-0.247501654,-0.462393373,-0.796777857,-0.462336063,-1.206535697
-0.462469757,-0.247179183,-0.462507963,-0.79470252,-0.462507963,-1.217364296
-0.46254617,-0.247009116,-0.462565273,-0.794443214,-0.462737173,-1.204049076
-0.462622553,-0.247365363,-0.46260348,-0.796201251,-0.462698966,-1.215392252
-0.462851763,-0.24752264,-0.462851763,-0.79770658,-0.462679863,-1.210965253
-0.462966383,-0.247248509,-0.462947279,-0.797138113,-0.462889969,-1.207334158
-0.463042766,-0.248740356,-0.463042766,-0.797313994,-0.463119179,-1.220515343
-0.463023663,-0.248516814,-0.463119179,-0.796371382,-0.463023663,-1.206913717
-0.463176489,-0.248312396,-0.463195562,-0.798042789,-0.463138282,-1.217816484
-0.463291079,-0.248085181,-0.463252872,-0.799519513,-0.463214666,-1.213385689
-0.463348389,-0.248289125,-0.463348389,-0.798769773,-0.463271976,-1.209338066
-0.463634878,-0.248195728,-0.463558495,-0.796805067,-0.463501185,-1.220343019
-0.463462979,-0.248056751,-0.463501185,-0.796339923,-0.463501185,-1.207391175
-0.463844985,-0.248172572,-0.463673085,-0.798244963,-0.463615775,-1.218405344
-0.463768601,-0.247964291,-0.463730395,-0.799512067,-0.463768601,-1.213540825
-0.463997781,-0.247899163,-0.463806778,-0.79891336,-0.463787675,-1.210182798
-0.463997781,-0.247929729,-0.464055091,-0.796759169,-0.463997781,-1.220812428
-0.464112401,-0.24818691,-0.464055091,-0.796686161,-0.464131504,-1.207822206
-0.463997781,-0.247944592,-0.464246094,-0.798468761,-0.464150608,-1.218845723
-0.464379787,-0.248109953,-0.464322507,-0.799979382,-0.464284301,-1.214325935
-0.464417994,-0.248330396,-0.464570791,-0.799254369,-0.464322507,-1.210685467
-0.464398891,-0.247969025,-0.464532614,-0.797185713,-0.464456201,-1.221769961
-0.464647204,-0.24775886,-0.464589894,-0.796894276,-0.464608997,-1.20856489
-0.464723617,-0.247769467,-0.464723617,-0.798914291,-0.464551687,-1.220154621
-0.464723617,-0.247722599,-0.46468541,-0.800215651,-0.4648,-1.215542071
-0.4649719,-0.24779656,-0.464838207,-0.799691727,-0.464761794,-1.211511758
-0.4649719,-0.247883073,-0.464933693,-0.797263956,-0.46491462,-1.222533904
-0.465124696,-0.247914651,-0.46508652,-0.797222251,-0.465067416,-1.209139101
-0.465182006,-0.247788778,-0.465162903,-0.799014843,-0.465220213,-1.220650678
-0.465334803,-0.2479861,-0.46520111,-0.800644788,-0.46525842,-1.216107006
-0.465373009,-0.247772627,-0.465353906,-0.799711384,-0.465182006,-1.212132317
-0.465449423,-0.247797697,-0.465468526,-0.797817128,-0.465525806,-1.222876045
